Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Avg comments,7,gini_comments_per_user,1.0,1.767333978920762,"(1.59633927812819, 1.56147810219316, 1.6863498679306799, 1.6752537393757299, 1.75399237210807, 1.84324459846488, 1.90186564306155, 1.8086718871721001, 1.9223513256318603, 1.9237929751413998)",+
Avg comments,7,fraction_biggest_connected,0.32,-0.34067245451330963,"(-0.245111860272226, -0.26712781836766897, -0.399746949700625, -0.343648529817349, -0.34792820614331893, -0.33093226422071803, -0.340231208441644, -0.355367073224889, -0.393630156872601, -0.383000478072056)",-
Avg comments,7,density,0.2734722222222223,0.3116391269810821,"(0.1070706157306, 0.18502121894947, 0.21119949793821, 0.38789061167969896, 0.375920292413401, 0.292434505010695, 0.3289031829929, 0.36719996649893, 0.35328882156721203, 0.507462557029704)",+
Avg comments,7,vocabulary_size,0.18723856209150325,0.26268970868031466,"(0.22853819319950602, 0.27842226551870897, 0.34834921829502596, 0.209124343120088, 0.27415756630682303, 0.294134271503204, 0.35796772612849603, 0.23687014334895398, 0.262984305369334, 0.136349054013006)",+
Avg comments,7,gini_comments_per_day,0.17628081321415903,-0.13662718251764971,"(0.267302179922615, 0.152511902244725, 0.0891467065202426, -0.0528548818238754, -0.0790798060711564, -0.21768697077197102, -0.224429098639099, -0.28038794116893395, -0.403109681078391, -0.617684234310653)",-
Avg comments,7,gini_posts_per_user,0.15767520807424015,0.19635175285459575,"(0.458856447091526, 0.46350025782286397, 0.315688174710828, 0.236050991376529, 0.22995484496826898, 0.0757773539151323, 0.0544855228960855, 0.111700577321556, 0.0921307432630961, -0.0746273848199282)",+
Avg comments,7,days_until_n,0.1466190476190476,-0.2406919179390865,"(-0.229225183711383, -0.23512318040623198, -0.22308708261205604, -0.29213228917031503, -0.231758922284795, -0.29886784309790304, -0.191026372225262, -0.265988653855313, -0.250556169135797, -0.189153482891809)",-
Avg comments,7,fraction_posts_replies,0.13176606675058683,0.21616635845346832,"(0.28712934080803904, 0.29135827217802696, 0.22875014933174598, 0.278658733666862, 0.18363950872374804, 0.105249991467735, 0.171568144665343, 0.244845901819894, 0.246320727294999, 0.12414281457828999)",+
Avg comments,7,gini_posts_per_day,0.12160196866227016,0.20338285733386932,"(0.0749238304016247, 0.0412246692663728, -0.00202792504903066, 0.0495819908799442, 0.200331153916578, 0.261389123848218, 0.23550960677243402, 0.332346499555154, 0.369593234374344, 0.470956389373054)",+
Avg comments,7,median_comments_users,0.12018484555984557,0.20320128505092622,"(0.20382808740200303, 0.287899822804518, 0.0117462366228598, 0.30413826378645004, 0.28124369442706104, 0.140948907428703, 0.153109461554347, 0.293719585487125, 0.199757933043368, 0.15562085795282699)",+
Avg comments,7,avg_clustering,0.09802935368724841,-0.2200713741279599,"(-0.140449711678463, -0.14250164998784398, -0.0535182866076687, -0.235092728814745, -0.221461586049827, -0.21756268685240698, -0.153861615552109, -0.24086159544739302, -0.326419960512547, -0.4689839197765949)",-
Avg comments,7,median_users_age,0.09095598845598846,0.1916153225601817,"(0.115780072520941, 0.160567855087626, 0.17359762441258497, 0.106346760218144, 0.21988177899772302, 0.298479048202355, 0.229120566565779, 0.19516989799370002, 0.23898423415821302, 0.178225387444751)",+
Avg comments,7,median_posts_users,0.07212049971503753,0.17597698771093162,"(0.23651055194799397, 0.12233015613821599, 0.19288195791953303, 0.173801488309038, 0.0970396740827653, 0.10998253116559699, 0.087105767023894, 0.19316091415077602, 0.216921059120062, 0.330035777251441)",+
Avg comments,7,language_evolution,0.06782407094893221,-0.15384284840110365,"(-0.10138717020190699, -0.23310626101677398, -0.23577634995442104, -0.280340724365797, -0.15445994662463902, -0.0871529607527477, -0.0403212272587227, -0.12764381312033599, -0.14431796065939098, -0.133922070056301)",-
Avg comments,7,fraction_singletons,0.05338262900333838,-0.13019346321972755,"(0.0581681443774341, -0.0107734850076977, -0.117531538344965, -0.0776537147994919, -0.134753229572312, -0.252376433062547, -0.23537605878841, -0.227608592646947, -0.18583947531576503, -0.118190249036574)",-
