Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Avg posts,7,gini_comments_per_user,1.0,1.337979312807032,"(1.1658278558323898, 1.18806975560838, 1.25940609446612, 1.2230930673898401, 1.31128864112919, 1.42940189843586, 1.37814293798493, 1.28236842209566, 1.4104190184515601, 1.7317754366763898)",+
Avg posts,7,gini_posts_per_user,0.35625,0.5208082831246623,"(0.8603107343929591, 0.7739828843591858, 0.640151959295844, 0.509521179147329, 0.53186668925812, 0.509361523517896, 0.3909280123959629, 0.43357693537334, 0.32557844790712104, 0.232804465598865)",+
Avg posts,7,gini_posts_per_day,0.31567460317460316,0.4363477335407399,"(0.136701975165624, 0.11311416485797803, 0.208565738205302, 0.340006372350149, 0.47783948216490296, 0.5492351676531879, 0.675988344772988, 0.5827743937110339, 0.582467977181942, 0.696783719344292)",+
Avg posts,7,gini_comments_per_day,0.27101449275362316,-0.40152469153433057,"(0.0731593907245486, -0.0930806921127886, -0.20718608162496802, -0.329216278433646, -0.41855432374543605, -0.540571972709887, -0.629886136586181, -0.496323527854371, -0.602383847941962, -0.771203445058614)",-
Avg posts,7,median_posts_users,0.1535154173312068,0.2571278815630137,"(0.4546727303871379, 0.316551780166381, 0.295143689301172, 0.298994302911596, 0.294901925802807, 0.21799113367267, 0.22286100447340101, 0.183949366671561, 0.133743865403869, 0.152469016839542)",+
Avg posts,7,fraction_biggest_connected,0.15109649122807017,-0.2473611828515414,"(-0.18407481669807102, -0.24720306421856, -0.250463441780351, -0.234164085009374, -0.24022603734727102, -0.333108165185511, -0.31618796397966603, -0.21582592273591802, -0.226721909012077, -0.225636422548615)",-
Avg posts,7,num_posts,0.14548408454290807,0.23169113464767696,"(0.0365111828046627, 0.454547826890904, 0.325274278268096, 0.11848239697373598, 0.15475529506664198, 0.128334692790348, 0.17703019722691302, 0.287489362526484, 0.32171859794744606, 0.312767515981538)",+
Avg posts,7,fraction_comments_replies,0.14099206349206347,-0.225590524612856,"(-0.19372131093206302, -0.21888406524788503, -0.31666442562830394, -0.18961917708477502, -0.189851470903068, -0.17295004191592903, -0.181452807542178, -0.22393927542468897, -0.206773334487292, -0.36204933696237696)",-
Avg posts,7,avg_clustering,0.10779609279609277,-0.20186631855534198,"(-0.119662131394157, -0.11852336161596101, -0.17171945774020803, -0.147027268564145, -0.0899528172355167, -0.32589748698665005, -0.256841401531435, -0.212700803538578, -0.29601406554267795, -0.280324391404091)",-
Avg posts,7,num_users_comments,0.10558773697566803,-0.19361105332335557,"(-0.27947175681633, -0.274858434027626, -0.20983227288010395, -0.10710215019985002, -0.212581304080543, -0.247213006220712, -0.151109531783833, -0.18376417761306402, -0.176901066247012, -0.0932768333644815)",-
Avg posts,7,density,0.0770703615017517,0.16051570927756076,"(-0.0018403398742175398, 0.143025485171916, 0.0926386260820272, 0.10191400970630599, 0.13250922130117201, 0.250552654184166, 0.270303963465254, 0.20945029285090302, 0.25422523046214396, 0.15237794942593696)",+
Avg posts,7,conj_y,0.06703523672857396,0.15073642766298115,"(0.0503996057971115, 0.10638730234885199, 0.0606715738341328, 0.0690693856015953, 0.0740814341238192, 0.18987706860502698, 0.15655177217184302, 0.202086972372195, 0.212272631870408, 0.38596652990482794)",+
Avg posts,7,num_users_posts,0.06599052010588365,0.1519537921337652,"(0.0455538165614783, 0.0710009586740789, 0.187437033039504, 0.21554854536994503, 0.1377716998341, 0.0673905681620738, 0.126497052915687, 0.22246889066295802, 0.20641070719176002, 0.23945864892606697)",+
Avg posts,7,median_users_age,0.059736744796770755,0.13865541746648855,"(0.113815898060363, 0.16024238687939998, 0.18374929793220102, 0.0928236119681356, 0.19658826013441197, 0.147141222631162, 0.101313696609025, 0.16282098638418802, 0.114749095101039, 0.11330971896496)",+
Avg posts,7,days_until_n,0.05439057036181496,-0.13599799756271497,"(-0.0857242347006033, -0.192834830764762, -0.125687304793766, -0.107190385332506, -0.118639507586735, -0.10859745697961802, -0.18219386426414497, -0.137823258984695, -0.213257257417011, -0.0880318748033084)",-
Avg posts,7,avg_gap_comments,0.051708653010226605,0.09507747991838307,"(0.10915871571780901, 0.135788284650361, 0.0700017221904715, 0.0669280083134608, 0.0129447930307269, 0.00788958730405004, -0.0292197228676878, -0.0253304378513208, 0.295239984345919, 0.307373864350041)",+
Avg posts,7,language_evolution,0.04903959263608386,-0.13643546300569268,"(-0.008363506537229759, -0.11136884054699901, -0.12410214544542401, -0.13126138010416902, -0.10274558370725399, -0.0944665807181969, -0.142594536073013, -0.19805732228328798, -0.18755550217660102, -0.263839232464752)",-
Avg posts,7,work_x,0.04021209815628821,0.0887057934759522,"(-0.0619492645558378, -0.0816242793654849, -0.0141358625571217, 0.0767120491671111, 0.113253508727687, 0.0891833294282122, 0.21659299120420702, 0.182937803006662, 0.204215697411192, 0.161871962292895)",+
Avg posts,7,we_y,0.03786526050219376,-0.12023468652857347,"(-0.0584616886008441, -0.11992528371863, -0.19373942530398897, -0.11170130624785, -0.0991175071235844, -0.0923046285636223, -0.138990513407519, -0.105421076336386, -0.111973938910611, -0.170711497072699)",-
