Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Growth 1 year comments,7,gini_comments_per_user,1.0,1.140594569560585,"(1.0502294532417, 1.03653607883293, 1.1164777672008799, 1.06438634958036, 1.10718441561128, 1.0861290499104899, 1.19536919459424, 1.2401956243187, 1.35103796942497, 1.1583997928903)",+
Growth 1 year comments,7,avg_clustering,0.36504329004329006,-0.37033547546499235,"(-0.165068494528358, -0.24145923081138299, -0.30989372878962, -0.3944079245692871, -0.460823867907274, -0.44968525714998403, -0.422214228029946, -0.359219663977617, -0.534632170842238, -0.36595018804421703)",-
Growth 1 year comments,7,gini_comments_per_day,0.2317678571428571,-0.23590597241370959,"(0.207247678982939, 0.0163506021908801, -0.111579078057252, -0.15359840278390502, -0.234329762625393, -0.270372933542955, -0.39779518706278494, -0.394128363682908, -0.467863595990628, -0.552990681565089)",-
Growth 1 year comments,7,fraction_biggest_connected,0.20607142857142854,-0.28885278186267505,"(-0.19555918622610396, -0.21729176701129602, -0.271243296296957, -0.248086043038219, -0.31375823818118703, -0.281441767587118, -0.36433906225030294, -0.334415058503261, -0.306360033513132, -0.356033366019174)",-
Growth 1 year comments,7,vocabulary_size,0.18588127765622592,0.23006206167407522,"(0.3195978648882, 0.28409633151095004, 0.353410477458428, 0.276318477423796, 0.18818055267886602, 0.186834007416454, 0.201985730838742, 0.29672363128296997, 0.0977632411744059, 0.0957103020679405)",+
Growth 1 year comments,7,num_users_posts,0.1797619047619048,-0.25883278935200654,"(-0.32708061690491996, -0.275193369419633, -0.32614306284511996, -0.21504873491751297, -0.26883753686784, -0.261535792407848, -0.187335747072118, -0.223866634706858, -0.276564273699857, -0.226722124678359)",-
Growth 1 year comments,7,gini_posts_per_user,0.14467019326254676,0.21202438285949232,"(0.42553412232418897, 0.395323880577151, 0.269949094646456, 0.19907210269050402, 0.140165446017939, 0.141587272499958, 0.216656980214001, 0.0705120683783183, 0.127252313883747, 0.13419054736266)",+
Growth 1 year comments,7,days_until_n,0.13534252297410193,-0.2249463533708087,"(-0.18607498704017603, -0.20867168860183102, -0.139060970986875, -0.23119945798344396, -0.19087485209794897, -0.326478588030825, -0.387900156179734, -0.18183935472661897, -0.25429863624322896, -0.143064841817405)",-
Growth 1 year comments,7,gini_posts_per_day,0.12330165004078046,0.2163216682111418,"(0.125564395155064, 0.0410725237641572, 0.118205639677775, 0.127989355203187, 0.19114064547229398, 0.227654997382461, 0.343460073800013, 0.291166611381202, 0.3431004805354939, 0.35386195973977097)",+
Growth 1 year comments,7,fraction_singletons,0.1117667931483721,-0.20325559380720373,"(-0.0339904030807088, -0.0997426828472574, -0.157450083656785, -0.19954482175017896, -0.329496800489355, -0.256320964282856, -0.315847475078747, -0.238450696735008, -0.194783423087143, -0.20692858706399803)",-
