Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Growth 1 year posts,7,gini_comments_per_user,1.0,0.7517144575900315,"(0.7737080954788921, 0.801091519430854, 0.7146834257667, 0.707918394815132, 0.7317236535008399, 0.9755801405173751, 0.7495195636076241, 0.76433387392051, 0.560264820972728, 0.73832108788966)",+
Growth 1 year posts,7,num_users_posts,0.4533333333333333,0.35557827045695917,"(0.240432079296856, 0.304691336682907, 0.290650374533491, 0.316494690321679, 0.35822511906177, 0.49768704874688596, 0.3798154000466721, 0.42653857695343, 0.326457756612784, 0.414790322313117)",+
Growth 1 year posts,7,gini_comments_per_day,0.266031746031746,-0.24412719993540163,"(0.10693056560165501, -0.104184409150475, -0.16515344759016598, -0.193796408018802, -0.276730700836655, -0.381227385856305, -0.340196364804051, -0.379058318273501, -0.332124891226213, -0.375730639199503)",-
Growth 1 year posts,7,num_users_comments,0.19963369963369962,-0.19692157311352093,"(-0.27601963119159495, -0.256869198503667, -0.22413293405679502, -0.227223930785796, -0.24928325856135602, -0.16485419052549802, -0.0995861995550362, -0.126194529354228, -0.18204926352274697, -0.163002595078491)",-
Growth 1 year posts,7,avg_clustering,0.1913888888888889,-0.21766578384226548,"(-0.131282843272832, -0.14129414578360502, -0.156822375596621, -0.20079601717592102, -0.176280092390747, -0.35030915315359495, -0.24806268311086901, -0.262139688010035, -0.21317985899553799, -0.29649098093289195)",-
Growth 1 year posts,7,gini_posts_per_day,0.1420970695970696,0.1893881874353962,"(0.107656454005123, 0.0814313754181757, 0.10151504882756099, 0.14794871397127898, 0.195284768379504, 0.33763545505643605, 0.240179855191706, 0.288157126555164, 0.194172343074469, 0.199900733874544)",+
Growth 1 year posts,7,gini_posts_per_user,0.1245721665866606,0.00756545050492353,"(0.38213465370094896, 0.25610135025714004, 0.124522972524593, 0.0229980801971353, -0.013205935856431001, -0.108820988832739, -0.145796265889163, -0.129375016796986, -0.11442203372064401, -0.19848231053461898)",+
Growth 1 year posts,7,fraction_biggest_connected,0.12210335747202106,-0.14537140352888672,"(-0.10928632018071499, -0.146948843401705, -0.190678480774402, -0.16375658522853198, -0.144488683330028, -0.248111513428402, -0.168033760311557, -0.14539988999690698, -0.0845471805952168, -0.0524627780414027)",-
Growth 1 year posts,7,we_x,0.11694875301287574,-0.15336814382711145,"(-0.0506713239979934, -0.0526589722878723, -0.141407362544655, -0.111365569384724, -0.10958339866087, -0.21508244467356802, -0.18271129231350303, -0.24042323132945198, -0.216206729522763, -0.213571113555714)",-
Growth 1 year posts,7,language_evolution,0.0812339021807107,-0.12307532473626308,"(-0.0682950607553419, -0.183497487666027, -0.17659614254381198, -0.151836780662792, -0.0513913589159415, -0.168274947959252, -0.144875962658845, -0.0767822613006153, -0.0799978042022211, -0.129205440697783)",-
Growth 1 year posts,7,vocabulary_size,0.08095502435708621,0.10762214284311564,"(0.254978159656019, 0.216280614817656, 0.13272649295706, 0.128570371784124, 0.10819680912677498, 0.100931876724809, 0.12434217035742098, 0.0397127230635054, -0.00301302166656468, -0.0265047683896482)",+
Growth 1 year posts,7,days_until_n,0.07959105312595821,-0.12127436406132348,"(-0.0816251685813164, -0.11937584522267401, -0.0768894575888842, -0.18346383642624603, -0.133276900799488, -0.173232265894677, -0.10330921310317802, -0.13833563714206698, -0.133137381102695, -0.0700979347520092)",-
Growth 1 year posts,7,num_comments,0.06844109185486665,-0.11437593925735116,"(-0.19287473281484802, -0.13213009863110098, -0.165055878978206, -0.0751241616633891, -0.0796843803645228, -0.22788796258216198, -0.10949247702228698, -0.0586574597452431, -0.0235962937204846, -0.0792559470512681)",-
Growth 1 year posts,7,avg_gap_comments,0.05846505549212135,0.09701886543109035,"(0.117558144758396, 0.0399464541937319, -0.00791358557755727, 0.0960933554421699, 0.11721980184141399, 0.12213366797155199, 0.0673501004268677, 0.126693355534544, 0.0868594441159854, 0.2042479156038)",+
Growth 1 year posts,7,median_users_age,0.05651006833668124,0.10841546915995146,"(0.0629449455905414, 0.087343420625543, 0.128948632518078, 0.0708244138894351, 0.126412711098424, 0.158400553304724, 0.0943947198742932, 0.11281768935502098, 0.08991868609197698, 0.152148919251478)",+
Growth 1 year posts,7,focusfuture_y,0.054128733585255315,-0.10154586420068497,"(-0.0706892335975561, -0.12724601709744698, -0.0994425134705013, -0.13921359006267098, -0.121079666552305, -0.0294238852206366, -0.108026728582185, -0.0982959036087554, -0.0897906081706083, -0.132250495644184)",-
Growth 1 year posts,7,transitivity_parents,0.0447475146569162,-0.09699665716530018,"(-0.065614405624775, -0.0901560556869798, -0.0911689520357725, -0.11941130790387301, -0.0899615527056162, -0.15021392386198598, -0.11526895989271499, -0.0957546760038318, -0.0352633827692035, -0.11715335516824901)",-
Growth 1 year posts,7,cause_x,0.04426528583709435,0.08656761216687081,"(0.0287544932056129, 0.0110687742533195, 0.0211998431828469, 0.05723449394492299, 0.0699964181589353, 0.11477779937497198, 0.142907619026306, 0.0994669477515325, 0.14290984231936998, 0.17735989045089004)",+
Growth 1 year posts,7,number_y,0.04175529603333546,-0.06544544627725621,"(0.00394658669573555, -0.0269678560794991, -0.018675633951639, -0.0371961670816183, -0.0235340631680646, -0.0598114234199953, -0.0289272791448355, -0.10429784530625999, -0.141749446692937, -0.21724133462344897)",-
Growth 1 year posts,7,fraction_posts_replies,0.04100711214096957,0.08588442754965636,"(0.22302077510994398, 0.11546596340912899, 0.0872693030668006, 0.10541936343019198, 0.0282520779930605, 0.0867405497498031, 0.0386148861577032, 0.0371738132157118, 0.0695909779642758, 0.0672965653999437)",+
Growth 1 year posts,7,density,0.03708973820573276,-0.03696810728594178,"(-0.168521218666003, -0.152002039309419, -0.0247148576716297, -0.0697068974146797, -0.0431673239529333, -0.0295196055496697, 0.047359866817841, 0.084189619597486, -0.00023512654455685298, -0.0133634901658535)",-
Growth 1 year posts,7,you_y,0.03571296330049189,-0.07538456868860652,"(-0.0438617187728148, -0.0365969412038026, -0.0827149582968801, -0.0721742474017895, -0.0473530395710573, -0.0493088248221377, -0.0633188586807301, -0.15401605799681398, -0.107567460617627, -0.0969335795224121)",-
Growth 1 year posts,7,avg_gap_posts,0.035159320813345586,-0.07412969396970297,"(-0.00540720841240715, -0.0725824957584098, -0.0542410095596009, -0.0668270444874785, -0.0763246463515053, 0.016973149143501003, -0.130822184304038, -0.104358530655495, -0.100766623304637, -0.14694034600695902)",-
Growth 1 year posts,7,median_karma_posts,0.03363705336726328,-0.056243812762624634,"(0.0196651121552519, 0.0732213389873364, 0.0005188191421819269, -0.0542919372547087, -0.0742566437300947, -0.13474592196444302, -0.167269222386103, -0.0715561177366971, -0.0972006908799274, -0.0565228639590426)",-
Growth 1 year posts,7,assent_x,0.0326068128773637,-0.07411624256682944,"(-0.0519300462903046, -0.0657674596268892, -0.0899339072272359, -0.0263982109120199, -0.0642379672694454, -0.0346187144904808, -0.0418818372348773, -0.0654989558816564, -0.134401000513075, -0.16649432622231)",-
Growth 1 year posts,7,verb_x,0.031522208873501975,0.08192106899554233,"(0.0374763662066865, 0.0777863584714043, 0.0756341291209934, 0.0558644066828217, 0.11429595852503299, 0.12117081616005199, 0.0999001525203496, 0.0747680426596609, 0.0626203601952554, 0.0996940994131665)",+
Growth 1 year posts,7,insight_y,0.031158885693015958,-0.07953437001301442,"(-0.0206539525402054, -0.0196852499988159, -0.0743643359606363, -0.0475498695259641, -0.06823728946051001, -0.17618390273645698, -0.0981724613412354, -0.0925891217714824, -0.0824172248132497, -0.115490291981588)",-
Growth 1 year posts,7,we_y,0.02903860500266578,-0.06079097063576984,"(-0.0973774161371302, -0.10096947775747199, -0.140196636492919, -0.0412125885195287, -0.049791904661903, -0.0163884706265264, -0.0387280717581767, -0.0582123035802231, -0.0235071024094259, -0.0415257344143935)",-
Growth 1 year posts,7,power_y,0.028887880811278466,-0.060589069552660205,"(0.0371891523953751, -0.0345223836496355, -0.0465707577854031, -0.0498046806399201, -0.0444311679517441, -0.0328718758955837, -0.06896104372721201, -0.0765711308027426, -0.11692485783201101, -0.17242194963772503)",-
Growth 1 year posts,7,conj_y,0.02845566292683943,0.07503349214647574,"(0.0139974029164193, 0.0304476332568552, 0.034895709801918, 0.0594252671723872, 0.0964238079549232, 0.10892454825179501, 0.10885192774400301, 0.0564449593302842, 0.0829476261604214, 0.157976038875751)",+
Growth 1 year posts,7,extraversion_x,0.02809099658004493,0.0545950262177969,"(-0.0428639492915743, 0.0242327202306046, 0.0239494071654845, 0.06998412227841999, 0.11195214745620599, 0.15877741179980098, 0.0178416712939762, 0.025106352776505997, 0.0347625450001401, 0.12220783346840498)",+
Growth 1 year posts,7,you_x,0.027719461164806773,-0.07961879108121048,"(-0.0297434202309009, -0.0819842519639987, -0.0535391004429765, -0.06562355589907401, -0.0824377119970248, -0.10297022616620699, -0.0753501998887616, -0.092394257164096, -0.0937313198727504, -0.118413867186315)",-
Growth 1 year posts,7,neuroticism_y,0.02727739068680591,0.05694321138092808,"(-0.0107992173564952, -0.0191362216936804, 0.0640628551908627, 0.0140959368115477, 0.0198432773342112, 0.122632342321737, 0.1139373091729, 0.12696689063148198, 0.0694087365046411, 0.0684202048920748)",+
