Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Growth 2 years,7,gini_comments_per_user,1.0,0.8987388417010299,"(0.9374474938666999, 0.830835501721747, 0.929233831081558, 0.8358203729737091, 0.7540933750589399, 1.01397341440285, 0.838817109720799, 0.7287027715617651, 0.9884880208616109, 1.12997652576062)",+
Growth 2 years,7,gini_comments_per_day,0.320518018018018,-0.28395790409484495,"(0.151037981223701, -0.0423942711604064, -0.15208251472579598, -0.229658850108139, -0.251227117433168, -0.39467072695208705, -0.391196363921796, -0.41415700136283295, -0.446472978104651, -0.6687571984032739)",-
Growth 2 years,7,avg_clustering,0.32,-0.2862135714825636,"(-0.17972514131040598, -0.19261652397123002, -0.250685363500367, -0.29892741561442604, -0.26334490724746107, -0.5382768744358429, -0.305154592194195, -0.234753649383147, -0.227075840926373, -0.371575406242188)",-
Growth 2 years,7,gini_posts_per_user,0.203941623510589,0.18169795243027712,"(0.422055749005851, 0.33179920890852804, 0.27877752217111496, 0.21707224422279603, 0.18796931217037302, 0.167603661190143, 0.12525674134352, 0.17471194797540804, 0.0149529553031501, -0.10321981798811301)",+
Growth 2 years,7,gini_posts_per_day,0.1338185973314057,0.14389102769980897,"(0.0536944287474967, -0.0145142979584479, 0.0188163126298295, 0.0393119951755152, 0.106750040234264, 0.21263625063929603, 0.252164697344317, 0.245612720608807, 0.255146935294364, 0.269291194282648)",+
Growth 2 years,7,fraction_biggest_connected,0.1285451536767326,-0.1567802362192781,"(-0.135384267598137, -0.143636470006456, -0.292427493276363, -0.10022886572851701, -0.13240726964938102, -0.17333181189731603, -0.14705173815055403, -0.148912515714335, -0.183972444471808, -0.110449485699914)",-
Growth 2 years,7,median_users_age,0.12728446991604886,0.17604484583845986,"(0.0913922922324763, 0.115406364471134, 0.187361842484543, 0.183879631879108, 0.197018216120756, 0.19999019787187602, 0.11694046241104901, 0.195107904695085, 0.21902250523373198, 0.254329040984839)",+
Growth 2 years,7,fraction_posts_replies,0.11227335891483887,0.14015455095616608,"(0.19271717472788602, 0.144194170402588, 0.175558006212382, 0.0996521597840467, 0.106065278372659, 0.17068813838849303, 0.138674289113254, 0.164659142132665, 0.20817495599652103, 0.00116219443116593)",+
Growth 2 years,7,num_users_comments,0.11116860100115748,-0.14027716730208162,"(-0.18202676052905803, -0.142434695947897, -0.197374618436391, -0.219933328263591, -0.0904183231201101, -0.226859362637349, -0.0623093942809512, -0.142635266257404, -0.034920450054518, -0.10385947349354699)",-
Growth 2 years,7,vocabulary_size,0.093832836820277,0.1334204665071288,"(0.165849823121334, 0.260539072154328, 0.22023176388178897, 0.205146271779276, 0.0635015013959951, 0.0637658153265695, 0.0971582181745477, 0.117481087293281, 0.0828430576485104, 0.0576880542956574)",+
Growth 2 years,7,median_posts_users,0.0837196483584983,0.1397939097049104,"(0.0702352810156354, 0.0443310416815037, 0.241892356302776, 0.120839642199812, 0.144591528155738, 0.10900465820577802, 0.14325551144267498, 0.128319818790604, 0.11771446071766001, 0.277754798536922)",+
Growth 2 years,7,language_evolution,0.08088752517323945,-0.1471253088996704,"(-0.12413301536226799, -0.127603596154164, -0.16424828992766502, -0.15159172525207298, -0.11984090040479099, -0.165990109188519, -0.125324835290153, -0.15152762844382198, -0.206248886165146, -0.13474410280810303)",-
Growth 2 years,7,verb_x,0.07528771783033764,0.12434976457494089,"(0.0577170038984968, 0.0711490807425914, 0.0527381538180123, 0.0281387645460631, 0.10888897911472502, 0.20285157184508604, 0.17968583769736202, 0.0951538922140222, 0.21685583056408, 0.23031853130897)",+
Growth 2 years,7,we_y,0.06045701510768757,-0.1074057498816531,"(-0.0648904335570109, -0.155562791963823, -0.19148322763085, -0.123369795689442, -0.114530670183853, -0.0475097860662954, -0.0717253136937076, -0.0827797507464096, -0.141575644969119, -0.0806300843160205)",-
Growth 2 years,7,fraction_comments_replies,0.05637256262256261,-0.070477402629583,"(-0.150651023801174, -0.135446590075645, -0.193684939839698, -0.0810312882555071, -0.131675395330916, -0.10559425246394301, -0.0740717344466089, 0.0115471746520192, 0.0516920427911678, 0.10414198047447501)",-
Growth 2 years,7,num_posts,0.053841688585352175,-0.037073620384022815,"(0.0166978035297164, 0.0993425754715442, 0.11598486145415303, 0.0383610405766096, -0.0599449411710525, 0.0186598848577983, -0.0974202873186771, -0.0483998809794908, -0.0691486314461082, -0.38486862881472106)",-
Growth 2 years,7,days_until_n,0.05054852920637749,-0.10271497117536568,"(-0.0943768381462468, -0.137620517560727, -0.116982111996414, -0.177480689893376, -0.104504745041773, -0.147795318658612, -0.0990674834248729, -0.027426217036033, -0.13586951646560902, 0.0139737264700069)",-
Growth 2 years,7,cause_x,0.05051213605112267,0.1062279837804593,"(0.0357590624446166, 0.0317402027702054, 0.0401282018776382, 0.0847533733226839, 0.106443840391575, 0.16436947800168303, 0.155666915135943, 0.13293922916457598, 0.184502775226105, 0.125976759469567)",+
Growth 2 years,7,num_comments,0.05001277081209363,-0.10677678881200033,"(-0.19124198445208102, -0.038448775131029, -0.0533096820993999, -0.073494363546624, -0.0749348044481929, -0.106419888702289, -0.0702645538321527, -0.0833037746216246, -0.155456580287019, -0.22089348099959102)",-
Growth 2 years,7,we_x,0.045959325698456135,-0.113904281857207,"(-0.0417711852685113, -0.0686173674157556, -0.0966137371775841, -0.097691443627386, -0.0690507324117318, -0.134065816447326, -0.13320124477395, -0.15908022758829998, -0.17967882901043802, -0.159272234851087)",-
