Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Growth 2 years comments,7,gini_comments_per_user,1.0,1.011006878780347,"(1.01975020444966, 0.992595498710354, 0.993607032778268, 0.8789952256755179, 1.02370643532427, 1.07001334015259, 0.8221565670314901, 1.04448146656939, 1.01780515858905, 1.24695785852288)",+
Growth 2 years comments,7,avg_clustering,0.38928571428571435,-0.347659904414008,"(-0.204231301615105, -0.261411956730894, -0.366706880853405, -0.32808901580735306, -0.338201877090386, -0.44042407279458395, -0.259840622605504, -0.366736162430895, -0.452432843785327, -0.458524310426627)",-
Growth 2 years comments,7,gini_comments_per_day,0.2509574691477677,-0.23495270109485417,"(0.19063292383450697, -0.00072803994254481, -0.128236093986158, -0.17268667595063697, -0.205499599747792, -0.35696553836288103, -0.320967538141357, -0.43383556817743607, -0.45060477417367495, -0.47063610630056796)",-
Growth 2 years comments,7,gini_posts_per_user,0.17466546449446585,0.19926605442800852,"(0.44249104982367893, 0.39410776950051, 0.28986522958836203, 0.21699920740682602, 0.19174643285017104, 0.19140077423135798, 0.12920832435203, 0.0633161557419161, 0.132678596083653, -0.0591529952984199)",+
Growth 2 years comments,7,fraction_biggest_connected,0.16428571428571428,-0.2358725759410661,"(-0.22566638039462197, -0.21010288790826998, -0.23248098502030498, -0.20229091078745998, -0.220987850706935, -0.354554589378585, -0.151891531326284, -0.272554073814946, -0.317338103725882, -0.17085844634737196)",-
Growth 2 years comments,7,vocabulary_size,0.15808073477541593,0.18120380784102558,"(0.28230937130274897, 0.303246885033424, 0.310812850394511, 0.225536353125801, 0.19610058643678896, 0.13205588778955699, 0.126394453097703, 0.126441687344533, 0.0935499491749293, 0.0155900547102599)",+
Growth 2 years comments,7,median_users_age,0.1527777777777778,0.21059088894373365,"(0.12547473805450599, 0.18401135658752804, 0.22141846369537196, 0.173274571220491, 0.26668802342264997, 0.21862905676051603, 0.16388049618949802, 0.256698485432988, 0.271115486149033, 0.22471821192475502)",+
Growth 2 years comments,7,fraction_singletons,0.13723534871018658,-0.18151072959304387,"(-0.000340736312343335, -0.0787208874267143, -0.16005609913576002, -0.204397794730559, -0.22799456005806604, -0.39459922054377206, -0.172397538282897, -0.185570785712707, -0.22717877616688, -0.16385089756073998)",-
Growth 2 years comments,7,num_users_posts,0.11494047619047618,-0.1886776790518335,"(-0.264403665313278, -0.19172752303751503, -0.200979372632739, -0.20025491002525, -0.22279485501917, -0.17047131047345399, -0.130207116056824, -0.173111775436806, -0.11352204906685302, -0.21930421345644602)",-
Growth 2 years comments,7,gini_posts_per_day,0.1125252882459699,0.15275236312971388,"(0.065718349506189, -0.00282460571060597, 0.0156195859722067, 0.0751514947739588, 0.0860909436133472, 0.249193225606191, 0.22652891278012302, 0.286496680519384, 0.26413692560534197, 0.261412118631003)",+
Growth 2 years comments,7,median_posts_users,0.09984298109298109,0.17200996581276237,"(0.0945328200163817, 0.10253882575366101, 0.29905579211434197, 0.19536387992887302, 0.16078445861016, 0.23249070351019396, 0.15513824742548002, 0.20246708560215101, 0.134242540262009, 0.14348530490437197)",+
