Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Growth 2 years posts,7,gini_comments_per_user,1.0,0.6365474008066747,"(0.724944451695766, 0.660194092174615, 0.574444819111749, 0.562728751980011, 0.511408644362832, 0.547512025359424, 0.656185801301761, 0.653678207567755, 0.542032523124317, 0.932344691388517)",+
Growth 2 years posts,7,num_users_posts,0.3833333333333334,0.2791534953009311,"(0.24792706107455, 0.262441370633253, 0.29521716111405605, 0.252958604123885, 0.230232058932263, 0.25726747852273396, 0.275733625643058, 0.336623434582414, 0.213191360461006, 0.419942797922092)",+
Growth 2 years posts,7,gini_comments_per_day,0.3213636363636364,-0.23303297326115166,"(0.0697920113063149, -0.0907959580339715, -0.14069418259374303, -0.197936320042749, -0.26465395789879104, -0.253194981782288, -0.3018742308415, -0.366784890418673, -0.32652856342334696, -0.45765865888276897)",-
Growth 2 years posts,7,avg_clustering,0.20266233766233768,-0.20622402641730816,"(-0.155029949597909, -0.141285674544808, -0.168936924107957, -0.19886246595289397, -0.18163930813023801, -0.199954868354256, -0.24841285529152698, -0.213313347398564, -0.17810088752249398, -0.376703983272435)",-
Growth 2 years posts,7,num_users_comments,0.17415750915750916,-0.18006395431855324,"(-0.23702892721231503, -0.209683052588706, -0.19273536085426501, -0.22018486531035397, -0.17192023916864302, -0.181350277018308, -0.121902345229462, -0.18331506030237898, -0.0846368139708085, -0.197882601530292)",-
Growth 2 years posts,7,gini_posts_per_user,0.15310997178137897,0.10763409081578282,"(0.396780785361134, 0.28051177009244, 0.21590173459867398, 0.132913033432667, 0.0401935961217793, 0.0648098739803393, 0.0142907361792378, 0.0159059927461932, 0.0156064236202296, -0.100573037974866)",+
Growth 2 years posts,7,we_x,0.13963852813852815,-0.16675705448055705,"(-0.0751198394376478, -0.0870546310727747, -0.126684955074584, -0.11251824085080499, -0.14903466384321398, -0.14294374050506697, -0.22039827395470002, -0.281069918371606, -0.207547567509578, -0.265198714185594)",-
Growth 2 years posts,7,fraction_biggest_connected,0.1307051282051282,-0.1557959464809431,"(-0.146412477113419, -0.134964749820282, -0.17762234648999103, -0.17183053871670997, -0.147929746184222, -0.16096462563474803, -0.202071195867435, -0.187070004297202, -0.13360823908593, -0.0954855415994922)",-
Growth 2 years posts,7,median_users_age,0.11641108891108891,0.14976586773930053,"(0.127372777978379, 0.168664931455063, 0.20220151317176602, 0.15150378313805601, 0.16868495569060799, 0.11779182757293699, 0.0916097525235782, 0.10452344569329901, 0.17081772051868, 0.19448796965063897)",+
Growth 2 years posts,7,gini_posts_per_day,0.08087012987012988,0.11275181875837781,"(0.0758451614493325, 0.0339407944819538, 0.0299468184578854, 0.0672794635907414, 0.110495956687044, 0.16082523643889002, 0.14739214821517402, 0.16900763536941, 0.117015165176672, 0.21576980771667498)",+
Growth 2 years posts,7,focusfuture_y,0.06771015848072909,-0.11019663397891184,"(-0.0723909886380695, -0.0800040001798618, -0.166689743231433, -0.15201668327695497, -0.104650551908556, -0.0998913306362164, -0.10306510965447199, -0.0798914936191614, -0.0572638278375844, -0.18610261080680898)",-
Growth 2 years posts,7,fraction_posts_replies,0.06505556340164664,0.1018225361256786,"(0.20184797251937098, 0.11294738386262801, 0.14294231942623098, 0.0929763066133106, 0.0457352470086962, 0.125360779864943, 0.10148661457314301, 0.10102797294250399, 0.0687950768241974, 0.0251056876217618)",+
Growth 2 years posts,7,language_evolution,0.06436172549838912,-0.10715885601360431,"(-0.0855251977152192, -0.126468686873906, -0.123701888912783, -0.0986157301542556, -0.0521438603552307, -0.0608157258418037, -0.14283394444114098, -0.103674299586592, -0.082543102203112, -0.195266124052)",-
Growth 2 years posts,7,vocabulary_size,0.06036515855148149,0.08746201623811053,"(0.185810635653474, 0.18967390356669198, 0.107271587217636, 0.0789631901534523, 0.0796257006142383, 0.0499560423719001, 0.0963809175093789, 0.0910096993645907, 0.0293287017725054, -0.0334002158427623)",+
Growth 2 years posts,7,cause_x,0.0602203213347378,0.09615959079258699,"(0.03654215251852, 0.0510755678482501, 0.0188232620536372, 0.0573413499509961, 0.0873685367985697, 0.0910764777054727, 0.14159866962036402, 0.100563986806501, 0.17277711280045002, 0.20442879182310897)",+
