Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Growth_1year,7,gini_comments_per_user,1.0,1.0467710345913646,"(0.9961747851061701, 0.927820168253212, 1.05365757036486, 0.970828522505912, 1.04713361280553, 1.0097381973977901, 1.01867349340385, 1.03113965688833, 1.15438397606326, 1.25816036312473)",+
Growth_1year,7,avg_clustering,0.325,-0.31528797006718956,"(-0.20121664764974104, -0.185838129750536, -0.26354853181068, -0.318474296724151, -0.351554202087138, -0.35735779569530196, -0.326612045758403, -0.26328638974693397, -0.419876384429792, -0.465115277019218)",-
Growth_1year,7,gini_comments_per_day,0.31291858678955453,-0.28745752781713546,"(0.153787449599085, 0.00431363178726443, -0.116562850114612, -0.19086789173945, -0.289273311961044, -0.36598022881755, -0.412152109132394, -0.478828235038975, -0.501450853379154, -0.6775608793745249)",-
Growth_1year,7,days_until_n,0.1782972582972583,-0.22454448344353337,"(-0.239715284160272, -0.22201208683786802, -0.15575853336584197, -0.24735938619808498, -0.21927054182439998, -0.256710827959498, -0.27203607569140603, -0.20385102315064899, -0.23076609197279002, -0.197964983274524)",-
Growth_1year,7,gini_posts_per_user,0.1649008143671245,0.1316891852916989,"(0.41072113285778, 0.324809705907906, 0.274421144258013, 0.112980496973127, 0.0380086305097948, 0.136244732141907, 0.0156252809490534, 0.0491141584330717, 0.0607352747189845, -0.10576870383264801)",+
Growth_1year,7,gini_posts_per_day,0.15448430654313008,0.2221960242704482,"(0.0998916759528525, 0.0474316417593299, 0.0517747232698466, 0.12369891521955699, 0.23570575386997503, 0.230581101047222, 0.28937803228679804, 0.336145059748305, 0.415392107658258, 0.39196123189233795)",+
Growth_1year,7,vocabulary_size,0.13016481420943662,0.1861080473366661,"(0.22150001058066202, 0.27148729834307195, 0.23719869666816298, 0.18711850735769398, 0.21930085533506, 0.236974983510287, 0.13013132843107902, 0.17977966402900897, 0.0775190256086483, 0.100070103502987)",+
Growth_1year,7,fraction_biggest_connected,0.1148815073815074,-0.1858923397228002,"(-0.14779201784621301, -0.117176068070443, -0.253203652385612, -0.13296816461917899, -0.225230036486213, -0.165334968578212, -0.168002659362658, -0.20489253120283202, -0.261187339116536, -0.18313595956010398)",-
Growth_1year,7,language_evolution,0.1062398667947867,-0.17681234992076988,"(-0.106099222335158, -0.22266505450678897, -0.227695161344072, -0.195085045115727, -0.13858754017040198, -0.223830687707883, -0.162803745550156, -0.19551590955340697, -0.128996829781054, -0.166844303143051)",-
Growth_1year,7,median_posts_users,0.09793598707558664,0.1671700550173096,"(0.0669212583849316, 0.0593332656756767, 0.257166366444495, 0.225773767807535, 0.22509516322790699, 0.202321184292231, 0.10689995537392698, 0.141892274746626, 0.19202814869382, 0.194269165525947)",+
Growth_1year,7,fraction_comments_replies,0.07748521652374682,-0.12167622149149851,"(-0.176333583984191, -0.173608072368977, -0.255347672343834, -0.139486895556304, -0.0912641942403128, -0.105322775585752, -0.17807038435519, -0.0638580090920876, -0.0215006820151689, -0.0119699453731679)",-
Growth_1year,7,fraction_posts_replies,0.07168772370208348,0.15522808708433547,"(0.200822645362063, 0.17066811430952097, 0.20312050613406502, 0.14676009770467902, 0.0501658561283785, 0.12406840782366199, 0.126827905111513, 0.142984208083221, 0.202565135844124, 0.18429799434212804)",+
Growth_1year,7,num_posts,0.06294681321388637,-0.048144082415953124,"(0.0208584647426245, 0.17650747786343898, 0.16481960966981699, -0.0601620604651509, -0.0423719836839408, 0.0436091641923619, -0.15720467881300199, -0.18335318947826698, -0.23642582597616799, -0.207717802211245)",-
Growth_1year,7,differ_y,0.06107060653398021,0.06161699171215582,"(0.00372122649000677, -0.00736206404754174, 0.114139225360898, 0.19552185684958998, 0.28174446148732696, 0.12933988377156802, 0.0765452387138655, 0.0320163212190215, -0.132421521252752, -0.0770747114704249)",+
Growth_1year,7,num_comments,0.05865584665686898,-0.11752513611281859,"(-0.20439189103158303, -0.0550611364520413, -0.0567309640514684, -0.0509176157003828, -0.249303925263105, -0.0978683555998576, -0.0847019220724967, -0.0398887597660892, -0.0968117623364589, -0.239575028854703)",-
Growth_1year,7,num_users_comments,0.058498786653507176,-0.12557619439580253,"(-0.169063320799261, -0.13960523378450398, -0.22693647642744696, -0.16877660005858, -0.170998206607331, -0.0826817666486872, -0.0989056468990135, -0.0828922632348666, -0.0528975415648622, -0.0630048879334728)",-
Growth_1year,7,we_x,0.05493838611120087,-0.12461552030773201,"(-0.0309190518733065, -0.0360463170579676, -0.0842353292837185, -0.0715607355807185, -0.12417934737602199, -0.16522992092737002, -0.176915927712949, -0.19038476857667896, -0.227851184553025, -0.138832620135564)",-
Growth_1year,7,median_users_age,0.05347971200912377,0.13613007703663765,"(0.0693555155080507, 0.11242204612879099, 0.15926953305166502, 0.124620258244765, 0.14463649212135, 0.13286384998578998, 0.105675444641431, 0.156246705495239, 0.162034088394638, 0.194176836794657)",+
Growth_1year,7,verb_x,0.05010411591861337,0.129751347686324,"(0.0545107223002177, 0.0589983937040464, 0.0654216009293448, 0.12016760112259, 0.13271619117352101, 0.20199626901107198, 0.139867402365478, 0.156487176611011, 0.167545255537939, 0.19980286410802)",+
Growth_1year,7,median_title_length,0.03905300283347439,0.08081011085946518,"(0.0404026966370776, 0.014811788422882, -0.0237311996655948, 0.0140643014516522, 0.0363844734684603, 0.0499963260247308, 0.0363674748773439, 0.18374074032475798, 0.240070448828303, 0.21599405822503898)",+
Growth_1year,7,extraversion_x,0.03857095809259318,0.08872748741657555,"(-0.0762367967463236, 0.063490804129364, 0.0204242426069628, 0.0610422685360462, 0.17333979213447598, 0.16953442403435998, 0.0290984348009088, 0.0947061942066943, 0.14280807194770598, 0.209067438515561)",+
Growth_1year,7,avg_gap_comments,0.03748092646059943,0.07788135491292551,"(0.11884834419705302, 0.0854093155093202, 0.0992747966849461, 0.0794300973693934, 0.00379179459375919, 0.0239057856589301, -0.0594023877123477, -0.0116427554335191, 0.14081291956057698, 0.298385638701143)",+
Growth_1year,7,conscientiousness_x,0.036753563589322726,0.0987941967468545,"(0.0175492719325583, 0.00121715288710784, 0.0478908141595367, 0.0782482602104785, 0.150292707348676, 0.154802879397116, 0.148912913909763, 0.0500281923984047, 0.10617300403774402, 0.23282677118716003)",+
Growth_1year,7,we_y,0.035556049985839604,-0.09464443978017541,"(-0.0647617158452642, -0.106116083883404, -0.17283046447814002, -0.13215211273566801, -0.0814556652284827, -0.043939477634162, -0.0726528856119231, -0.06804441702146401, -0.08762473100015501, -0.11686684436309101)",-
Growth_1year,7,agreeableness_x,0.035515119259722075,-0.04711531372261244,"(0.00268407929438024, 0.00530730658177777, 0.086423840596309, 0.10065314857856199, 0.0305852492297662, -0.0961728507969516, -0.0506553687949808, -0.0944720105680402, -0.125854385781336, -0.329652145565611)",-
