Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Growth_6months,7,gini_comments_per_user,1.0,1.1233097606252886,"(1.0254580072180401, 0.973034898589264, 1.02558730791739, 0.9720173560913101, 0.991268576282782, 1.113563871871, 1.14439426932175, 1.2188285052263998, 1.23033291854796, 1.5386118951869898)",+
Growth_6months,7,days_until_n,0.395,-0.40425843373077114,"(-0.350787963994046, -0.342296253762649, -0.335250338877136, -0.34985669408371695, -0.37580009251008706, -0.487917645026428, -0.46064148608758204, -0.42392695700927796, -0.45340886528158797, -0.462698040675201)",-
Growth_6months,7,gini_comments_per_day,0.27636667570253903,-0.2911998408210991,"(0.16151766979137, -0.0245955063158181, -0.0925559698659371, -0.199232684615807, -0.24403990154143698, -0.357639167587241, -0.507310418104148, -0.6120556468456739, -0.46919166262716905, -0.56689512049913)",-
Growth_6months,7,gini_posts_per_day,0.22019230769230766,0.33978255552178477,"(0.19172345418360398, 0.135686329327571, 0.200101126618708, 0.23975966204017798, 0.32791479887985103, 0.329661129260612, 0.467687382892994, 0.5733664038386689, 0.411663969883165, 0.520261298292496)",+
Growth_6months,7,avg_clustering,0.21555555555555556,-0.3206829756541788,"(-0.18941313494065803, -0.17219450990793203, -0.282506514246823, -0.248056730452565, -0.32062258191578497, -0.334029241025727, -0.36220026321759996, -0.314968426063503, -0.46453850175072403, -0.518299853020471)",-
Growth_6months,7,vocabulary_size,0.1753217503217503,0.24527043595154852,"(0.22886554750556598, 0.282515472829185, 0.24356782993798604, 0.30026120830788106, 0.277536840447663, 0.23932629703381303, 0.269729683233193, 0.17908061485766602, 0.15049658679888298, 0.281324278563649)",+
Growth_6months,7,median_posts_users,0.11325493883464896,0.17286032818242453,"(0.0711311049619734, 0.0433901287304895, 0.315097470674675, 0.26002376965734103, 0.205222623526572, 0.253491823071876, 0.0811927262224588, 0.223421096796939, 0.31826189892393103, -0.0426293607420103)",+
Growth_6months,7,language_evolution,0.09070879718676535,-0.16813452888717034,"(-0.13652207385252602, -0.192741370747433, -0.270465517384461, -0.187858417354372, -0.161953887159917, -0.225300718214991, -0.229161892692763, -0.131380427339504, -0.12367565150077, -0.0222853326249663)",-
Growth_6months,7,fraction_biggest_connected,0.08585899465694861,-0.1847094512681996,"(-0.114749412650052, -0.1888656483368, -0.190040205239852, -0.16933824845006698, -0.212129658132358, -0.14524383924513398, -0.15217693555256798, -0.259370611070439, -0.18130163148174103, -0.23387832252298502)",-
Growth_6months,7,num_users_comments,0.08532163905834118,-0.15810547600677316,"(-0.186830471948746, -0.22064168518409402, -0.199055863131475, -0.18279917003086102, -0.17902454346893, -0.18384944462653197, -0.145492100410563, -0.265184507777087, -0.0303121372848898, 0.0121351637954463)",-
