Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Growth_all,7,gini_comments_per_user,1.0,0.947559510515517,"(0.8401425992807071, 0.8679612485367081, 0.8364925875849659, 0.8121903268131819, 0.987770949987059, 1.02827612173259, 1.0670189025877599, 0.8579046406764971, 1.0089737457235899, 1.16886398223211)",+
Growth_all,7,gini_comments_per_day,0.33874854819976774,-0.3273847521984935,"(0.106060037330401, -0.0600741740193645, -0.196479425197778, -0.251632844811074, -0.37680403701820997, -0.39778985464000705, -0.481762091156831, -0.473435268122323, -0.492091391220405, -0.6498384731293431)",-
Growth_all,7,avg_clustering,0.27261904761904765,-0.2772823297940985,"(-0.180461430774031, -0.16860287584588401, -0.21055759719922, -0.31123856579419, -0.427966800698587, -0.385779931821487, -0.32537206126513696, -0.15339016475061498, -0.301628661773679, -0.30782520801815505)",-
Growth_all,7,gini_posts_per_user,0.19385029987692337,0.15591329465290332,"(0.43069814630427294, 0.34505634851937605, 0.255070059370725, 0.20243296050249, 0.16827331431128503, 0.108183663055708, 0.020456144627727, 0.0687539733334105, 0.0878343885185747, -0.127626052014536)",+
Growth_all,7,median_users_age,0.1290147760735996,0.18202072107877193,"(0.128535882596377, 0.153260494668377, 0.177146068016687, 0.19760095905635397, 0.195638230817969, 0.197665370254714, 0.213679319679285, 0.152746503452864, 0.18428471113626202, 0.21964967110882996)",+
Growth_all,7,fraction_biggest_connected,0.1269665242165242,-0.17608828101762045,"(-0.0991800837184414, -0.19045217515649301, -0.19973358597709198, -0.0933138186560449, -0.230362409193671, -0.18096250878861497, -0.155050290558013, -0.219076878220921, -0.22094858919697302, -0.17180247070994)",-
Growth_all,7,language_evolution,0.12091503267973853,-0.16442707272938223,"(-0.0581825511705932, -0.126834066761442, -0.131205578540523, -0.19044584532292103, -0.16970018311145, -0.22306145247726702, -0.32969035149661796, -0.15198979748562, -0.156622825559385, -0.10653807536800301)",-
Growth_all,7,num_users_comments,0.11338291638494476,-0.1557823508054405,"(-0.209019980436817, -0.136764593010816, -0.22796044805676002, -0.13826064215634698, -0.115002695604145, -0.124274586331155, -0.21139756942202198, -0.136393231079593, -0.10914597370974699, -0.14960378824700302)",-
Growth_all,7,gini_posts_per_day,0.11043440846862636,0.14900319257114736,"(0.0507035932032117, -0.008814620680796529, -0.0179724998202945, 0.0700402998520291, 0.18717268051804997, 0.22058217307152103, 0.210885278672356, 0.260255417047756, 0.20103322944698396, 0.31614637440065696)",+
Growth_all,7,fraction_posts_replies,0.09883954678362575,0.14545115215587012,"(0.234591247107575, 0.145604598569147, 0.16912647075171097, 0.112224850456989, 0.10171688163528901, 0.165384632860453, 0.169656839786453, 0.16352854007122303, 0.201068399430989, -0.00839093911112798)",+
Growth_all,7,vocabulary_size,0.09207383838555108,0.13514479000012933,"(0.17824724151046, 0.23116057701544396, 0.19663691236521602, 0.16368498594414999, 0.09158217651007099, 0.0959108921636579, 0.13670455708342402, 0.0769315996493107, 0.14276224977739702, 0.0378267079821629)",+
