Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Retention,7,gini_comments_per_user,1.0,1.207104755436292,"(1.03496162411401, 1.23900421979315, 1.3008817185218, 1.4554828320208002, 1.50301087720546, 1.24425409042759, 1.0865375431322, 1.1660391935069099, 0.95499136116136, 1.08588409447964)",+
Retention,7,gini_posts_per_user,0.5,0.6306991782504285,"(0.821830001823317, 0.8199628561966321, 0.7337083057314859, 0.7473902168517329, 0.676326134854979, 0.568058521017576, 0.45398507215185097, 0.510550715625235, 0.468931137099905, 0.5062488211515711)",+
Retention,7,gini_comments_per_day,0.21201970443349755,-0.19249710692612548,"(0.0537575431742746, -0.0912445834685891, -0.167994798735177, -0.24973422034553, -0.291673918354926, -0.201347500839239, -0.23101952031584502, -0.261796558456036, -0.224621342163216, -0.259296169756971)",-
Retention,7,gini_posts_per_day,0.1978479326513214,-0.22410945898595047,"(-0.24899065761916803, -0.37614937855522, -0.34840438858675205, -0.41126075561412, -0.32951383707604803, -0.18572125323823496, -0.11789143497210199, -0.0775347794079157, -0.0616632695763083, -0.0839648352136359)",-
Retention,7,num_users_posts,0.16975579975579974,0.197249850099779,"(0.0826551475386542, 0.237235536259117, 0.29517129770354, 0.26333454337164397, 0.18427308475188603, 0.142621027680707, 0.186995924444631, 0.225936429286149, 0.144823465469314, 0.20945204449214802)",+
Retention,7,median_users_age,0.1558134920634921,0.18575086953997152,"(0.14785638517563, 0.17382681333411404, 0.239912408642517, 0.273663677820082, 0.24640122658709002, 0.23617168542057101, 0.119121497940375, 0.17601785295166197, 0.13945863976340803, 0.10507850776426599)",+
Retention,7,transitivity,0.14372004459643978,0.15292744559865512,"(0.0148301516272795, 0.0477620423788707, 0.0917737222451709, 0.134165627301954, 0.203119547790136, 0.17194083838662602, 0.164763960455233, 0.274601360428396, 0.175188902817389, 0.251128302555496)",+
Retention,7,days_until_n,0.1295342565930801,0.1655031331492443,"(0.20296977945664, 0.13335359953995402, 0.143184310899893, 0.149116783439537, 0.192489484436632, 0.10788263532713599, 0.147141788793706, 0.217277014713909, 0.13386829909217401, 0.227747635792862)",+
Retention,7,vocabulary_size,0.11636197136197135,0.16500252977669141,"(0.0770802572657774, 0.217801779943487, 0.22764305268434099, 0.312216163372979, 0.24255438248539898, 0.0940058958111391, 0.145835694924087, 0.17179340493167003, 0.0420272511119484, 0.11906741523608601)",+
Retention,7,article_y,0.06272240301879087,0.0989123517566627,"(0.0463844805984809, 0.126846070215034, 0.0903646862535644, 0.0684005519321721, 0.0421215339979078, 0.0360701413018866, 0.13599184172656403, 0.153586165757155, 0.17256089457182097, 0.11679715121204101)",+
Retention,7,openness_y,0.05856181227355935,0.10849183224841256,"(0.0900899760282031, 0.0762349166297976, 0.0551125984245253, 0.13150241969114, 0.12482474807551801, 0.0661834101292243, 0.0753915961815281, 0.12331152298706599, 0.158778381581153, 0.18348875275596999)",+
Retention,7,interrog_y,0.05820798323123903,0.10104917328590904,"(-0.0276426410626554, -0.0230523934492127, 0.0794905740027922, 0.222405367158208, 0.21268110531013898, 0.0731410276940457, 0.130250407606504, 0.144457964654086, 0.136074674178182, 0.0626856467670017)",+
Retention,7,avg_clustering,0.048191922252072625,-0.10419229730184494,"(-0.0549581745777395, -0.0964795692787075, -0.12651404061142502, -0.11444911570417698, -0.17403442938031397, -0.101399216725291, -0.0708039609060069, -0.123425210201662, -0.0444195471557175, -0.135439708477409)",-
Retention,7,neuroticism_x,0.047796674106438064,-0.07532383545601382,"(0.0201530978580773, -0.00581908911757531, -0.00939560142811597, -0.0071088899135452795, -0.109578727281414, -0.11128314786493199, -0.114302371030904, -0.18175589210052598, -0.14526573023387102, -0.08888200344733199)",-
Retention,7,bio_y,0.04578542773223625,-0.09488036429293356,"(-0.0363772149252481, -0.0517480649159122, -0.164308885249077, -0.18127111742232396, -0.167394710527887, -0.10764513092637401, -0.0603018839071578, -0.0709621816931973, -0.0382555513564288, -0.0705389020057293)",-
Retention,7,num_posts,0.04488525262364994,0.017840120853034068,"(0.004042528614746911, 0.130225679787886, -0.0539527024435309, 0.129932310637872, 0.167285214342601, 0.0777190576779505, -0.10689954139775099, -0.000710553139355777, 0.0335594585707399, -0.202800244120818)",+
Retention,7,extraversion_x,0.043221327658827656,0.09333714488063641,"(0.00331172015864558, 0.0448092389844106, 0.0739276609614999, 0.12438564140771499, 0.0897454846812912, 0.0787805767188666, 0.10203177950783199, 0.180768320913345, 0.0857648807267792, 0.14984614474597902)",+
Retention,7,fraction_comments_replies,0.04251961499219426,-0.02572149951378132,"(-0.1232348631838, -0.15120600288274402, -0.0055264188196743605, -0.110775619802175, -0.0352813132087076, 0.0252917481128309, 0.0549099117322122, -0.0328366274046415, 0.105572948249293, 0.0158712420695931)",-
