Task,model,feature,avg_ranking,avg_coefficient,list_coefficients,signal
Survival,7,median_users_age,0.5333333333333332,0.17423664702735586,"(0.18720687863487698, 0.21177170303957102, 0.26716130652320896, 0.206366158167366, 0.185195961847375, 0.15237054052908303, 0.14422288414003198, 0.152242679182793, 0.12581976966273598, 0.110008588546517)",+
Survival,7,gini_comments_per_day,0.4780536130536131,-0.1364354408865434,"(0.0295925882447793, -0.0956814868111035, -0.124216275569194, -0.138035780639117, -0.16077767406486201, -0.15314301591307197, -0.18643637542583105, -0.203646099876498, -0.163179616143915, -0.168830672666621)",-
Survival,7,gini_comments_per_user,0.475,0.1935668043390494,"(0.47126774466409105, 0.226614107615578, 0.263126309836789, 0.190614006858504, 0.16613654413197698, 0.13908636892647, 0.120770851618845, 0.12853595310055801, 0.12490078878247099, 0.104615367855211)",+
Survival,7,days_until_n,0.4383333333333333,0.14346643449570703,"(0.0314386300965933, 0.11877934520667, 0.14817062371449602, 0.119219850876754, 0.163513418091415, 0.157750040931361, 0.161171270245978, 0.20917970561501997, 0.15757235274655898, 0.167869107432224)",+
Survival,7,gini_posts_per_user,0.23666666666666666,0.15219023032032283,"(0.405478741312505, 0.215809486738803, 0.211277469533788, 0.130654862376339, 0.13101268722589202, 0.107425060076624, 0.10922673893405, 0.0856306105557254, 0.0707537165565513, 0.0546329298929507)",+
Survival,7,focusfuture_y,0.1318192918192918,-0.09717342986576535,"(-0.0612173223732043, -0.09297481211033, -0.132075319806137, -0.0925468874992092, -0.0995077403981098, -0.0951805449703595, -0.10893641801329901, -0.101049442066763, -0.08948110540921901, -0.0987647060110227)",-
Survival,7,gini_posts_per_day,0.12747762323320133,-0.100326192711783,"(-0.0218955658002128, -0.124996494447108, -0.18340529354073398, -0.116515231738091, -0.103283226257099, -0.127394078794823, -0.10372587814584401, -0.0717803225483302, -0.0608732704354966, -0.0893925654100915)",-
Survival,7,avg_clustering,0.10409197336016389,-0.08871082855924065,"(-0.0972057410078404, -0.10763802753152199, -0.18624758982417397, -0.10462185300702302, -0.0809670505757324, -0.0734025884965082, -0.0780568464684107, -0.0624719327476167, -0.0514657250767081, -0.0450309308568709)",-
Survival,7,num_users_posts,0.08889501504921024,0.08393534034939051,"(0.0933264966445811, 0.139096635230055, 0.11617800385418302, 0.0908521099284817, 0.0650915322030154, 0.0563702323599111, 0.0464295076742274, 0.0780301744853546, 0.0652351179443288, 0.088743593169767)",+
Survival,7,we_x,0.08576296068468743,-0.07822768517925893,"(-0.0940359120066028, -0.11554848463924401, -0.101902701753172, -0.0677782803611125, -0.0508884763603716, -0.0351947182988962, -0.0572424317387872, -0.11228848544291198, -0.0777428321927494, -0.0696545289987416)",-
Survival,7,num_posts,0.08141739774387916,-0.07494802932634569,"(-0.0174669332023055, -0.0987353073181002, -0.125592519924676, -0.0446440418414803, -0.0526215490821747, -0.0910440368106801, -0.0936824833239421, -0.0884191974642894, -0.0788661544545912, -0.0584080698412174)",-
Survival,7,extraversion_x,0.07131935004347778,0.07518706729321202,"(0.0331099017795988, 0.0780565985692822, 0.104741836370901, 0.0994853099675979, 0.11521801028800101, 0.0847357349258945, 0.0713990063657911, 0.0708043541480811, 0.0253672371708539, 0.0689526833461187)",+
Survival,7,cause_x,0.07116345374418477,0.0705311524684162,"(0.0326306956385086, 0.059971555485431996, 0.0540562556027322, 0.0685859767249739, 0.106625722287628, 0.075998785249452, 0.0899138963863705, 0.10381382180100801, 0.0448925817422642, 0.0688222337657925)",+
